,time HR,HR,time ET,ET,time EH,EH,time ST,ST,time GSR,GSR,time Acc,Acc,time SR,SR,time Risk,Risk,time HI Risk,HI Risk,time CT Risk,CT Risk,time LR Risk,LR Risk,time est CT,est CT
69,1488326800.5926049,84.0,1488326801.761912,32.71,1488326800.441482,0.6822,,,1488326800.502356,361.0,,,,,1488327058.525089,0.08670232147626304,1488327058.525089,0.25799377013032426,1488327058.525089,0.0014762480952869744,1488327058.525089,0.0006369462031778904,1488326800.5926049,37.06315106033881
70,1488326802.06231,86.0,1488326803.232661,32.75,1488326801.912404,0.6870999999999999,,,1488326801.972641,429.0,,,,,1488327063.8097112,0.08719122952880991,1488327063.8097112,0.25928338704916226,1488327063.8097112,0.0015995334311959624,1488327063.8097112,0.0006907681060715027,1488326802.06231,37.06837907085268
71,1488326803.532497,86.0,1488326804.702059,32.76,1488326803.382736,0.6920000000000001,,,1488326803.472427,427.0,,,,,1488327069.0753589,0.08770234726363267,1488327069.0753589,0.260559955434795,1488327069.0753589,0.0017090920290289558,1488327069.0753589,0.0008379943270740287,1488326803.532497,37.073329770120345
72,1488326805.003613,86.0,1488326806.172958,32.81,1488326804.851999,0.6945,,,1488326804.952511,389.0,,,,,1488327074.282138,0.08780542921340855,1488327074.282138,0.2608284910207283,1488327074.282138,0.001811771339875928,1488327074.282138,0.000776025279621369,1488326805.003613,37.078019292753424
73,1488326806.502712,86.0,1488326807.642385,32.86,1488326806.321764,0.6956,,,1488326806.413572,397.0,,,,,1488327079.501954,0.08807660274805551,1488327079.501954,0.26187569759038126,1488327079.501954,0.0017338034416446166,1488327079.501954,0.000620307212140648,1488326806.502712,37.0824626161936
74,1488326807.9720562,85.0,1488326809.142894,32.92,1488326807.793119,0.6966,,,1488326807.8822699,426.0,,,,,1488327084.784456,0.08864814098224277,1488327084.784456,0.263678811541435,1488327084.784456,0.0016868230330172678,1488327084.784456,0.0005787883722760617,1488326807.9720562,37.08553991672896
75,1488326809.442772,85.0,1488326810.612372,32.95,1488326809.263104,0.6962,,,1488326809.352779,476.0,,,,,1488327090.014165,0.08902375581877435,1488327090.014165,0.26496293412553057,1488327090.014165,0.0015703786439170671,1488327090.014165,0.0005379546868754075,1488326809.442772,37.08845755835918
76,1488326810.912075,84.0,1488326812.082932,32.99,1488326810.732865,0.696,,,1488326810.822863,785.0,,,,,1488327095.4332852,0.08923231962028223,1488327095.4332852,0.265730472163512,1488327095.4332852,0.001452688829595614,1488327095.4332852,0.0005137978677391497,1488326810.912075,37.09009139349727
77,1488326812.382821,84.0,1488326813.552886,33.03,1488326812.2326741,0.6947,,,1488326812.292711,799.0,,,,,1488327100.903856,0.0893668882745856,1488327100.903856,0.2662414455980931,1488327100.903856,0.0013631222758191865,1488327100.903856,0.0004960969498444994,1488326812.382821,37.09164116037734
78,1488326813.8526862,82.0,1488326815.0227258,33.06,1488326813.701889,0.6934,,,1488326813.763007,444.0,,,,,1488327106.343771,0.08970657228828788,1488327106.343771,0.26725765163901544,1488327106.343771,0.0013321542996970383,1488327106.343771,0.000529910926151193,1488326813.8526862,37.09084610091363
